Section,Subject,Name,ID,Home Tuition (Y/N),Class,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
A,Maths,Arun Nair,8_A_1,Y,8,80101,68,76,57,74,9,5,10,0.8,6,80
A,Physics,Arun Nair,8_A_1,Y,8,80101,81,58,44,93,9,5,3,0.5,7,51
A,Chemistry,Arun Nair,8_A_1,N,8,80101,85,98,58,51,8,9,5,0.8,10,70
A,Biology,Arun Nair,8_A_1,Y,8,80101,98,62,82,98,8,5,7,0.4,4,76
A,English,Arun Nair,8_A_1,Y,8,80101,99,79,61,48,10,3,10,0.6,9,33
A,Social,Arun Nair,8_A_1,Y,8,80101,72,58,59,64,7,5,9,0.2,6,53
A,Painting,Arun Nair,8_A_1,Y,8,80101,99,97,48,59,7,5,4,0.6,7,89
A,Maths,Rishabh Suri,8_A_2,Y,8,80102,66,96,88,91,8,5,2,0.2,4,46
A,Physics,Rishabh Suri,8_A_2,Y,8,80102,85,53,63,98,5,9,10,0.6,10,50
A,Chemistry,Rishabh Suri,8_A_2,Y,8,80102,70,72,42,56,10,4,6,0.7,10,54
A,Biology,Rishabh Suri,8_A_2,Y,8,80102,68,57,87,92,4,8,10,0.6,9,87
A,English,Rishabh Suri,8_A_2,N,8,80102,86,100,84,55,9,6,4,0.3,3,60
A,Social,Rishabh Suri,8_A_2,N,8,80102,68,81,71,54,4,9,9,0.4,6,40
A,Painting,Rishabh Suri,8_A_2,Y,8,80102,77,67,57,97,7,6,4,0.8,7,87
A,Maths,Arjun Chatterjee,8_A_3,Y,8,80103,73,85,45,93,8,4,10,0.9,4,54
A,Physics,Arjun Chatterjee,8_A_3,N,8,80103,66,68,56,48,3,6,3,0.7,7,48
A,Chemistry,Arjun Chatterjee,8_A_3,Y,8,80103,67,74,62,75,5,10,10,0.5,5,47
A,Biology,Arjun Chatterjee,8_A_3,N,8,80103,68,60,87,96,4,5,8,0.5,6,64
A,English,Arjun Chatterjee,8_A_3,N,8,80103,90,53,46,75,9,6,4,0.4,3,54
A,Social,Arjun Chatterjee,8_A_3,N,8,80103,87,93,72,73,10,6,2,0.8,8,52
A,Painting,Arjun Chatterjee,8_A_3,Y,8,80103,73,92,92,68,7,3,7,0.9,5,57
A,Maths,Rajesh Kulkarni,8_A_4,N,8,80104,79,72,68,66,4,9,8,0.5,6,55
A,Physics,Rajesh Kulkarni,8_A_4,N,8,80104,90,67,92,49,6,10,9,0.6,7,66
A,Chemistry,Rajesh Kulkarni,8_A_4,N,8,80104,96,65,65,76,6,10,8,0.7,4,75
A,Biology,Rajesh Kulkarni,8_A_4,Y,8,80104,91,89,54,93,7,9,7,0.2,5,38
A,English,Rajesh Kulkarni,8_A_4,N,8,80104,84,76,46,57,8,5,5,0.3,6,94
A,Social,Rajesh Kulkarni,8_A_4,N,8,80104,95,79,70,87,3,4,7,0.4,8,85
A,Painting,Rajesh Kulkarni,8_A_4,Y,8,80104,83,56,43,47,4,3,8,0.6,3,60
A,Maths,Tanya Trivedi,8_A_5,Y,8,80105,97,48,58,97,6,8,2,0.7,8,50
A,Physics,Tanya Trivedi,8_A_5,N,8,80105,86,97,91,65,10,3,10,0.4,3,68
A,Chemistry,Tanya Trivedi,8_A_5,Y,8,80105,73,53,91,96,5,10,4,0.6,10,53
A,Biology,Tanya Trivedi,8_A_5,Y,8,80105,75,65,70,46,6,4,10,0.3,8,89
A,English,Tanya Trivedi,8_A_5,N,8,80105,79,75,91,70,9,8,3,0.4,9,69
A,Social,Tanya Trivedi,8_A_5,Y,8,80105,69,61,64,66,8,7,3,0.8,3,54
A,Painting,Tanya Trivedi,8_A_5,Y,8,80105,86,43,59,48,4,4,10,0.7,10,61
A,Maths,Nupur Roy,8_A_6,Y,8,80106,93,41,63,93,8,5,5,0.9,6,79
A,Physics,Nupur Roy,8_A_6,N,8,80106,76,53,60,82,8,8,3,0.4,8,78
A,Chemistry,Nupur Roy,8_A_6,Y,8,80106,92,45,84,46,9,5,9,0.4,10,33
A,Biology,Nupur Roy,8_A_6,Y,8,80106,90,79,85,79,9,4,10,0.4,3,31
A,English,Nupur Roy,8_A_6,Y,8,80106,69,98,93,64,9,10,8,0.5,9,70
A,Social,Nupur Roy,8_A_6,N,8,80106,99,42,60,74,4,6,10,0.9,7,54
A,Painting,Nupur Roy,8_A_6,Y,8,80106,100,52,80,60,5,6,8,0.6,8,58
A,Maths,Ritu Kumar,8_A_7,N,8,80107,84,77,44,57,7,6,3,0.8,3,84
A,Physics,Ritu Kumar,8_A_7,Y,8,80107,84,66,65,73,3,9,6,0.8,3,49
A,Chemistry,Ritu Kumar,8_A_7,N,8,80107,99,67,55,46,5,10,7,1.0,10,55
A,Biology,Ritu Kumar,8_A_7,N,8,80107,97,40,42,70,7,10,8,1.0,9,36
A,English,Ritu Kumar,8_A_7,N,8,80107,98,91,40,69,5,4,6,0.9,5,89
A,Social,Ritu Kumar,8_A_7,Y,8,80107,98,63,72,43,9,9,8,0.7,3,73
A,Painting,Ritu Kumar,8_A_7,Y,8,80107,88,40,83,64,4,3,5,0.6,4,100
A,Maths,Riya Agrawal,8_A_8,Y,8,80108,70,45,40,91,3,4,10,0.4,8,69
A,Physics,Riya Agrawal,8_A_8,Y,8,80108,67,61,52,54,5,10,9,0.9,6,40
A,Chemistry,Riya Agrawal,8_A_8,N,8,80108,81,76,49,93,10,5,9,0.6,4,83
A,Biology,Riya Agrawal,8_A_8,Y,8,80108,92,85,80,70,4,6,10,0.7,3,38
A,English,Riya Agrawal,8_A_8,N,8,80108,82,57,84,89,7,3,7,0.7,3,58
A,Social,Riya Agrawal,8_A_8,N,8,80108,96,55,97,65,8,3,2,0.4,10,68
A,Painting,Riya Agrawal,8_A_8,N,8,80108,90,84,72,45,3,7,10,0.9,9,92
A,Maths,Vijay Murthy,8_A_9,N,8,80109,99,44,72,46,10,3,9,0.9,3,31
A,Physics,Vijay Murthy,8_A_9,Y,8,80109,98,65,51,52,9,9,7,0.7,7,61
