ID,Section,Subject,Name,Home Tuition (Y/N),Class,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8A1,A,Maths,Arun Nair,Y,8,80101,68,76,57,74,9,5,10,0.8,6,80
8A1,A,Physics,Arun Nair,Y,8,80101,81,58,44,93,9,5,3,0.5,7,51
8A1,A,Chemistry,Arun Nair,N,8,80101,85,98,58,51,8,9,5,0.8,10,70
8A1,A,Biology,Arun Nair,Y,8,80101,98,62,82,98,8,5,7,0.4,4,76
8A1,A,English,Arun Nair,Y,8,80101,99,79,61,48,10,3,10,0.6,9,33
8A1,A,Social,Arun Nair,Y,8,80101,72,58,59,64,7,5,9,0.2,6,53
8A1,A,Painting,Arun Nair,Y,8,80101,99,97,48,59,7,5,4,0.6,7,89
8A2,A,Maths,Rishabh Suri,Y,8,80102,66,96,88,91,8,5,2,0.2,4,46
8A2,A,Physics,Rishabh Suri,Y,8,80102,85,53,63,98,5,9,10,0.6,10,50
8A2,A,Chemistry,Rishabh Suri,Y,8,80102,70,72,42,56,10,4,6,0.7,10,54
8A2,A,Biology,Rishabh Suri,Y,8,80102,68,57,87,92,4,8,10,0.6,9,87
8A2,A,English,Rishabh Suri,N,8,80102,86,100,84,55,9,6,4,0.3,3,60
8A2,A,Social,Rishabh Suri,N,8,80102,68,81,71,54,4,9,9,0.4,6,40
8A2,A,Painting,Rishabh Suri,Y,8,80102,77,67,57,97,7,6,4,0.8,7,87
8A3,A,Maths,Arjun Chatterjee,Y,8,80103,73,85,45,93,8,4,10,0.9,4,54
8A3,A,Physics,Arjun Chatterjee,N,8,80103,66,68,56,48,3,6,3,0.7,7,48
8A3,A,Chemistry,Arjun Chatterjee,Y,8,80103,67,74,62,75,5,10,10,0.5,5,47
8A3,A,Biology,Arjun Chatterjee,N,8,80103,68,60,87,96,4,5,8,0.5,6,64
8A3,A,English,Arjun Chatterjee,N,8,80103,90,53,46,75,9,6,4,0.4,3,54
8A3,A,Social,Arjun Chatterjee,N,8,80103,87,93,72,73,10,6,2,0.8,8,52
8A3,A,Painting,Arjun Chatterjee,Y,8,80103,73,92,92,68,7,3,7,0.9,5,57
8A4,A,Maths,Rajesh Kulkarni,N,8,80104,79,72,68,66,4,9,8,0.5,6,55
8A4,A,Physics,Rajesh Kulkarni,N,8,80104,90,67,92,49,6,10,9,0.6,7,66
8A4,A,Chemistry,Rajesh Kulkarni,N,8,80104,96,65,65,76,6,10,8,0.7,4,75
8A4,A,Biology,Rajesh Kulkarni,Y,8,80104,91,89,54,93,7,9,7,0.2,5,38
8A4,A,English,Rajesh Kulkarni,N,8,80104,84,76,46,57,8,5,5,0.3,6,94
8A4,A,Social,Rajesh Kulkarni,N,8,80104,95,79,70,87,3,4,7,0.4,8,85
8A4,A,Painting,Rajesh Kulkarni,Y,8,80104,83,56,43,47,4,3,8,0.6,3,60
8A5,A,Maths,Tanya Trivedi,Y,8,80105,97,48,58,97,6,8,2,0.7,8,50
8A5,A,Physics,Tanya Trivedi,N,8,80105,86,97,91,65,10,3,10,0.4,3,68
8A5,A,Chemistry,Tanya Trivedi,Y,8,80105,73,53,91,96,5,10,4,0.6,10,53
8A5,A,Biology,Tanya Trivedi,Y,8,80105,75,65,70,46,6,4,10,0.3,8,89
8A5,A,English,Tanya Trivedi,N,8,80105,79,75,91,70,9,8,3,0.4,9,69
8A5,A,Social,Tanya Trivedi,Y,8,80105,69,61,64,66,8,7,3,0.8,3,54
8A5,A,Painting,Tanya Trivedi,Y,8,80105,86,43,59,48,4,4,10,0.7,10,61
8A6,A,Maths,Nupur Roy,Y,8,80106,93,41,63,93,8,5,5,0.9,6,79
8A6,A,Physics,Nupur Roy,N,8,80106,76,53,60,82,8,8,3,0.4,8,78
8A6,A,Chemistry,Nupur Roy,Y,8,80106,92,45,84,46,9,5,9,0.4,10,33
8A6,A,Biology,Nupur Roy,Y,8,80106,90,79,85,79,9,4,10,0.4,3,31
8A6,A,English,Nupur Roy,Y,8,80106,69,98,93,64,9,10,8,0.5,9,70
