Class,Section,Subject,Name,ID,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Home Tuition (Y/N),Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8,A,Maths,Arun Nair,8_A_1,80101,68,76,57,74,Y,9,5,10,0.8,6,80
8,A,Physics,Arun Nair,8_A_1,80101,81,58,44,93,Y,9,5,3,0.5,7,51
8,A,Chemistry,Arun Nair,8_A_1,80101,85,98,58,51,N,8,9,5,0.8,10,70
8,A,Biology,Arun Nair,8_A_1,80101,98,62,82,98,Y,8,5,7,0.4,4,76
8,A,English,Arun Nair,8_A_1,80101,99,79,61,48,Y,10,3,10,0.6,9,33
8,A,Social,Arun Nair,8_A_1,80101,72,58,59,64,Y,7,5,9,0.2,6,53
8,A,Painting,Arun Nair,8_A_1,80101,99,97,48,59,Y,7,5,4,0.6,7,89
8,A,Maths,Rishabh Suri,8_A_2,80102,66,96,88,91,Y,8,5,2,0.2,4,46
8,A,Physics,Rishabh Suri,8_A_2,80102,85,53,63,98,Y,5,9,10,0.6,10,50
8,A,Chemistry,Rishabh Suri,8_A_2,80102,70,72,42,56,Y,10,4,6,0.7,10,54
8,A,Biology,Rishabh Suri,8_A_2,80102,68,57,87,92,Y,4,8,10,0.6,9,87
8,A,English,Rishabh Suri,8_A_2,80102,86,100,84,55,N,9,6,4,0.3,3,60
8,A,Social,Rishabh Suri,8_A_2,80102,68,81,71,54,N,4,9,9,0.4,6,40
8,A,Painting,Rishabh Suri,8_A_2,80102,77,67,57,97,Y,7,6,4,0.8,7,87
8,A,Maths,Arjun Chatterjee,8_A_3,80103,73,85,45,93,Y,8,4,10,0.9,4,54
8,A,Physics,Arjun Chatterjee,8_A_3,80103,66,68,56,48,N,3,6,3,0.7,7,48
8,A,Chemistry,Arjun Chatterjee,8_A_3,80103,67,74,62,75,Y,5,10,10,0.5,5,47
8,A,Biology,Arjun Chatterjee,8_A_3,80103,68,60,87,96,N,4,5,8,0.5,6,64
8,A,English,Arjun Chatterjee,8_A_3,80103,90,53,46,75,N,9,6,4,0.4,3,54
8,A,Social,Arjun Chatterjee,8_A_3,80103,87,93,72,73,N,10,6,2,0.8,8,52
8,A,Painting,Arjun Chatterjee,8_A_3,80103,73,92,92,68,Y,7,3,7,0.9,5,57
8,A,Maths,Rajesh Kulkarni,8_A_4,80104,79,72,68,66,N,4,9,8,0.5,6,55
8,A,Physics,Rajesh Kulkarni,8_A_4,80104,90,67,92,49,N,6,10,9,0.6,7,66
8,A,Chemistry,Rajesh Kulkarni,8_A_4,80104,96,65,65,76,N,6,10,8,0.7,4,75
8,A,Biology,Rajesh Kulkarni,8_A_4,80104,91,89,54,93,Y,7,9,7,0.2,5,38
8,A,English,Rajesh Kulkarni,8_A_4,80104,84,76,46,57,N,8,5,5,0.3,6,94
8,A,Social,Rajesh Kulkarni,8_A_4,80104,95,79,70,87,N,3,4,7,0.4,8,85
8,A,Painting,Rajesh Kulkarni,8_A_4,80104,83,56,43,47,Y,4,3,8,0.6,3,60
8,A,Maths,Tanya Trivedi,8_A_5,80105,97,48,58,97,Y,6,8,2,0.7,8,50
8,A,Physics,Tanya Trivedi,8_A_5,80105,86,97,91,65,N,10,3,10,0.4,3,68
8,A,Chemistry,Tanya Trivedi,8_A_5,80105,73,53,91,96,Y,5,10,4,0.6,10,53
8,A,Biology,Tanya Trivedi,8_A_5,80105,75,65,70,46,Y,6,4,10,0.3,8,89
8,A,English,Tanya Trivedi,8_A_5,80105,79,75,91,70,N,9,8,3,0.4,9,69
8,A,Social,Tanya Trivedi,8_A_5,80105,69,61,64,66,Y,8,7,3,0.8,3,54
8,A,Painting,Tanya Trivedi,8_A_5,80105,86,43,59,48,Y,4,4,10,0.7,10,61
8,A,Maths,Nupur Roy,8_A_6,80106,93,41,63,93,Y,8,5,5,0.9,6,79
8,A,Physics,Nupur Roy,8_A_6,80106,76,53,60,82,N,8,8,3,0.4,8,78
8,A,Chemistry,Nupur Roy,8_A_6,80106,92,45,84,46,Y,9,5,9,0.4,10,33
8,A,Biology,Nupur Roy,8_A_6,80106,90,79,85,79,Y,9,4,10,0.4,3,31
8,A,English,Nupur Roy,8_A_6,80106,69,98,93,64,Y,9,10,8,0.5,9,70
8,A,Social,Nupur Roy,8_A_6,80106,99,42,60,74,N,4,6,10,0.9,7,54
8,A,Painting,Nupur Roy,8_A_6,80106,100,52,80,60,Y,5,6,8,0.6,8,58
8,A,Maths,Ritu Kumar,8_A_7,80107,84,77,44,57,N,7,6,3,0.8,3,84
8,A,Physics,Ritu Kumar,8_A_7,80107,84,66,65,73,Y,3,9,6,0.8,3,49
8,A,Chemistry,Ritu Kumar,8_A_7,80107,99,67,55,46,N,5,10,7,1.0,10,55
8,A,Biology,Ritu Kumar,8_A_7,80107,97,40,42,70,N,7,10,8,1.0,9,36
8,A,English,Ritu Kumar,8_A_7,80107,98,91,40,69,N,5,4,6,0.9,5,89
8,A,Social,Ritu Kumar,8_A_7,80107,98,63,72,43,Y,9,9,8,0.7,3,73
8,A,Painting,Ritu Kumar,8_A_7,80107,88,40,83,64,Y,4,3,5,0.6,4,100
8,A,Maths,Riya Agrawal,8_A_8,80108,70,45,40,91,Y,3,4,10,0.4,8,69
8,A,Physics,Riya Agrawal,8_A_8,80108,67,61,52,54,Y,5,10,9,0.9,6,40
8,A,Chemistry,Riya Agrawal,8_A_8,80108,81,76,49,93,N,10,5,9,0.6,4,83
8,A,Biology,Riya Agrawal,8_A_8,80108,92,85,80,70,Y,4,6,10,0.7,3,38
8,A,English,Riya Agrawal,8_A_8,80108,82,57,84,89,N,7,3,7,0.7,3,58
8,A,Social,Riya Agrawal,8_A_8,80108,96,55,97,65,N,8,3,2,0.4,10,68
8,A,Painting,Riya Agrawal,8_A_8,80108,90,84,72,45,N,3,7,10,0.9,9,92
8,A,Maths,Vijay Murthy,8_A_9,80109,99,44,72,46,N,10,3,9,0.9,3,31
8,A,Physics,Vijay Murthy,8_A_9,80109,98,65,51,52,Y,9,9,7,0.7,7,61
8,A,Chemistry,Vijay Murthy,8_A_9,80109,95,60,86,81,Y,4,10,9,0.3,10,98
8,A,Biology,Vijay Murthy,8_A_9,80109,95,66,91,62,Y,6,4,10,0.4,6,45
8,A,English,Vijay Murthy,8_A_9,80109,70,54,70,75,N,6,5,8,0.7,5,33
8,A,Social,Vijay Murthy,8_A_9,80109,68,42,97,42,Y,9,6,8,0.8,9,81
8,A,Painting,Vijay Murthy,8_A_9,80109,100,46,93,50,Y,10,10,2,0.9,8,50
8,A,Maths,Siddharth Chetty,8_A_10,80110,93,99,51,41,Y,5,9,2,1.0,10,32
8,A,Physics,Siddharth Chetty,8_A_10,80110,87,95,53,42,Y,7,8,5,0.6,6,83
8,A,Chemistry,Siddharth Chetty,8_A_10,80110,99,92,91,91,N,5,4,8,0.7,7,49
8,A,Biology,Siddharth Chetty,8_A_10,80110,92,90,100,54,Y,10,10,8,0.1,5,77
8,A,English,Siddharth Chetty,8_A_10,80110,98,72,96,70,Y,8,3,4,0.8,10,33
8,A,Social,Siddharth Chetty,8_A_10,80110,83,61,100,94,N,8,3,8,0.4,8,44
8,A,Painting,Siddharth Chetty,8_A_10,80110,81,59,86,40,N,5,9,5,0.2,9,59
8,A,Maths,Manav Pandey,8_A_11,80111,83,100,84,43,N,10,3,9,0.7,9,47
8,A,Physics,Manav Pandey,8_A_11,80111,84,49,74,70,Y,5,7,4,0.9,3,59
8,A,Chemistry,Manav Pandey,8_A_11,80111,90,40,87,45,N,6,10,8,0.4,10,37
8,A,Biology,Manav Pandey,8_A_11,80111,68,94,67,42,N,7,4,2,0.4,5,92
8,A,English,Manav Pandey,8_A_11,80111,72,90,46,78,Y,6,10,2,0.9,8,56
8,A,Social,Manav Pandey,8_A_11,80111,66,50,85,84,N,4,5,5,0.3,4,40
8,A,Painting,Manav Pandey,8_A_11,80111,72,63,84,62,Y,8,7,8,0.2,4,89
8,A,Maths,Dev Garg,8_A_12,80112,98,52,73,100,Y,4,4,3,0.8,5,65
8,A,Physics,Dev Garg,8_A_12,80112,91,99,83,97,N,8,10,9,0.3,7,34
8,A,Chemistry,Dev Garg,8_A_12,80112,94,58,63,76,Y,8,5,4,0.8,3,98
8,A,Biology,Dev Garg,8_A_12,80112,72,57,54,57,Y,8,5,3,0.7,4,83
8,A,English,Dev Garg,8_A_12,80112,93,76,65,75,N,6,6,5,1.0,4,64
8,A,Social,Dev Garg,8_A_12,80112,81,90,88,50,Y,4,7,9,0.5,3,75
8,A,Painting,Dev Garg,8_A_12,80112,74,75,68,40,Y,3,4,2,0.4,6,69
8,A,Maths,Rohan Gill,8_A_13,80113,87,77,82,43,N,9,10,7,0.1,10,90
8,A,Physics,Rohan Gill,8_A_13,80113,100,71,60,95,N,8,8,9,0.4,10,82
8,A,Chemistry,Rohan Gill,8_A_13,80113,94,53,45,87,Y,8,3,9,0.3,4,88
8,A,Biology,Rohan Gill,8_A_13,80113,76,75,73,86,Y,3,8,3,0.4,9,32
8,A,English,Rohan Gill,8_A_13,80113,77,70,81,71,Y,7,5,7,0.7,10,59
8,A,Social,Rohan Gill,8_A_13,80113,80,48,78,69,Y,8,8,5,0.2,8,45
8,A,Painting,Rohan Gill,8_A_13,80113,99,99,41,40,N,10,9,10,0.5,5,62
8,A,Maths,Siddharth Gupta,8_A_14,80114,83,46,58,59,N,5,4,7,0.4,10,56
8,A,Physics,Siddharth Gupta,8_A_14,80114,91,52,53,43,Y,9,9,8,0.3,3,47
8,A,Chemistry,Siddharth Gupta,8_A_14,80114,92,57,97,100,N,5,8,7,0.6,3,62
8,A,Biology,Siddharth Gupta,8_A_14,80114,80,78,81,45,N,10,10,7,0.9,9,42
8,A,English,Siddharth Gupta,8_A_14,80114,95,46,99,52,Y,4,4,7,0.5,3,57
8,A,Social,Siddharth Gupta,8_A_14,80114,87,83,93,57,N,10,6,8,0.7,10,72
8,A,Painting,Siddharth Gupta,8_A_14,80114,85,85,51,95,N,4,5,9,0.6,6,55
8,A,Maths,Amit Bansal,8_A_15,80115,79,81,100,60,Y,4,7,6,0.9,4,79
8,A,Physics,Amit Bansal,8_A_15,80115,79,52,78,58,Y,5,4,10,0.5,9,39
8,A,Chemistry,Amit Bansal,8_A_15,80115,76,93,78,92,Y,7,9,9,0.2,6,50
8,A,Biology,Amit Bansal,8_A_15,80115,67,83,78,96,N,3,9,8,0.9,3,90
8,A,English,Amit Bansal,8_A_15,80115,83,41,44,77,N,4,8,6,0.3,10,59
8,A,Social,Amit Bansal,8_A_15,80115,89,49,81,44,N,8,10,5,0.8,8,40
8,A,Painting,Amit Bansal,8_A_15,80115,92,69,45,85,N,7,6,10,0.7,8,100
8,A,Maths,Kunwar Thakur,8_A_16,80116,89,85,91,85,Y,10,10,3,0.1,7,87
8,A,Physics,Kunwar Thakur,8_A_16,80116,73,43,44,52,N,8,5,8,0.8,10,95
8,A,Chemistry,Kunwar Thakur,8_A_16,80116,67,45,58,76,N,10,5,4,0.6,4,94
8,A,Biology,Kunwar Thakur,8_A_16,80116,81,84,81,48,N,6,10,10,0.6,5,64
8,A,English,Kunwar Thakur,8_A_16,80116,95,40,86,62,N,5,8,7,0.2,10,58
8,A,Social,Kunwar Thakur,8_A_16,80116,94,73,79,47,Y,9,6,6,0.7,5,56
8,A,Painting,Kunwar Thakur,8_A_16,80116,95,83,68,48,N,9,5,10,0.5,9,85
8,A,Maths,Arun Sandhu,8_A_17,80117,79,80,43,94,N,10,6,8,0.3,4,56
8,A,Physics,Arun Sandhu,8_A_17,80117,90,78,56,89,N,4,3,9,0.7,5,82
8,A,Chemistry,Arun Sandhu,8_A_17,80117,77,93,76,94,N,7,10,5,0.2,3,87
8,A,Biology,Arun Sandhu,8_A_17,80117,74,41,85,72,N,8,6,2,0.4,3,51
8,A,English,Arun Sandhu,8_A_17,80117,77,75,58,59,N,7,10,3,0.7,7,36
8,A,Social,Arun Sandhu,8_A_17,80117,82,71,92,84,Y,3,3,10,0.6,10,75
8,A,Painting,Arun Sandhu,8_A_17,80117,89,47,67,79,Y,3,4,9,0.9,4,88
8,A,Maths,Kabir Garg,8_A_18,80118,96,69,65,79,N,3,5,3,0.4,9,54
8,A,Physics,Kabir Garg,8_A_18,80118,95,91,73,64,Y,6,10,7,0.8,9,57
8,A,Chemistry,Kabir Garg,8_A_18,80118,76,68,76,50,N,3,7,2,0.2,9,39
8,A,Biology,Kabir Garg,8_A_18,80118,87,57,83,100,Y,6,9,5,0.5,9,53
8,A,English,Kabir Garg,8_A_18,80118,100,57,86,49,N,7,5,10,0.8,8,70
8,A,Social,Kabir Garg,8_A_18,80118,68,76,57,94,N,7,7,9,0.2,5,74
8,A,Painting,Kabir Garg,8_A_18,80118,70,70,67,57,N,3,4,4,0.7,7,46
8,A,Maths,Varun Bhatt,8_A_19,80119,79,57,91,53,Y,7,6,5,0.5,6,50
8,A,Physics,Varun Bhatt,8_A_19,80119,100,82,94,90,N,9,10,10,0.2,4,51
8,A,Chemistry,Varun Bhatt,8_A_19,80119,76,76,54,45,Y,10,5,9,0.5,4,99
8,A,Biology,Varun Bhatt,8_A_19,80119,89,86,85,62,N,7,8,5,0.7,3,71
8,A,English,Varun Bhatt,8_A_19,80119,94,89,50,73,N,10,8,6,0.4,7,58
8,A,Social,Varun Bhatt,8_A_19,80119,69,55,93,87,Y,4,6,2,0.6,5,100
8,A,Painting,Varun Bhatt,8_A_19,80119,95,54,68,82,N,7,9,2,0.7,8,52
8,A,Maths,Vikram Jain,8_A_20,80120,98,72,41,62,N,6,10,4,0.9,5,65
8,A,Physics,Vikram Jain,8_A_20,80120,96,49,94,47,Y,6,3,4,0.8,6,84
8,A,Chemistry,Vikram Jain,8_A_20,80120,69,45,70,51,Y,8,9,9,0.8,8,70
8,A,Biology,Vikram Jain,8_A_20,80120,69,68,87,55,Y,10,7,2,1.0,9,89
8,A,English,Vikram Jain,8_A_20,80120,98,79,97,46,Y,4,4,5,1.0,5,92
8,A,Social,Vikram Jain,8_A_20,80120,86,80,87,59,N,7,10,5,0.3,6,64
8,A,Painting,Vikram Jain,8_A_20,80120,70,81,74,57,Y,3,5,2,0.9,8,39
8,A,Maths,Riya Garg,8_A_21,80121,79,50,90,68,N,5,10,6,0.8,3,85
8,A,Physics,Riya Garg,8_A_21,80121,65,56,50,79,Y,7,3,8,0.6,4,32
8,A,Chemistry,Riya Garg,8_A_21,80121,70,66,44,51,Y,4,9,8,0.7,9,38
8,A,Biology,Riya Garg,8_A_21,80121,79,76,49,86,Y,7,10,3,0.2,3,39
8,A,English,Riya Garg,8_A_21,80121,71,50,69,59,N,5,8,4,0.5,3,48
8,A,Social,Riya Garg,8_A_21,80121,71,78,68,79,N,10,10,2,0.3,8,38
8,A,Painting,Riya Garg,8_A_21,80121,100,51,82,48,Y,9,10,2,0.6,10,64
8,A,Maths,Pranav Gupta,8_A_22,80122,77,87,52,91,N,4,6,8,0.8,5,67
8,A,Physics,Pranav Gupta,8_A_22,80122,91,97,58,88,N,6,4,2,0.6,5,64
8,A,Chemistry,Pranav Gupta,8_A_22,80122,78,77,53,74,N,10,9,9,0.8,6,91
8,A,Biology,Pranav Gupta,8_A_22,80122,67,77,69,54,N,7,10,6,0.7,7,81
8,A,English,Pranav Gupta,8_A_22,80122,92,87,98,41,N,7,9,7,0.7,4,38
8,A,Social,Pranav Gupta,8_A_22,80122,67,96,98,49,Y,8,5,7,1.0,7,52
